Date,Open,High,Low,Close,Volume
15/05/1997 16:00:00,1.96,2.5,1.93,1.96,6006000
16/05/1997 16:00:00,1.97,1.98,1.71,1.73,1223800
19/05/1997 16:00:00,1.76,1.77,1.62,1.71,508900
20/05/1997 16:00:00,1.73,1.75,1.64,1.64,455600
21/05/1997 16:00:00,1.63,1.65,1.37,1.43,1571100
22/05/1997 16:00:00,1.44,1.45,1.31,1.4,981400
23/05/1997 16:00:00,1.41,1.52,1.33,1.5,1328100
27/05/1997 16:00:00,1.51,1.65,1.46,1.58,724800
28/05/1997 16:00:00,1.64,1.64,1.53,1.53,381200
29/05/1997 16:00:00,1.54,1.54,1.48,1.51,289400
30/05/1997 16:00:00,1.51,1.51,1.48,1.5,216200
02/06/1997 16:00:00,1.51,1.53,1.5,1.51,49300
03/06/1997 16:00:00,1.53,1.53,1.48,1.48,98600
04/06/1997 16:00:00,1.48,1.49,1.4,1.42,256700
05/06/1997 16:00:00,1.42,1.54,1.37,1.54,472700
09/06/1997 16:00:00,1.66,1.71,1.66,1.69,196000
10/06/1997 16:00:00,1.71,1.71,1.53,1.58,454900
11/06/1997 16:00:00,1.71,1.71,1.53,1.54,99000
12/06/1997 16:00:00,1.58,1.65,1.55,1.6,136000
13/06/1997 16:00:00,1.62,1.62,1.58,1.58,57800
16/06/1997 16:00:00,1.59,1.6,1.56,1.57,76100
17/06/1997 16:00:00,1.6,1.6,1.49,1.51,392200
18/06/1997 16:00:00,1.52,1.54,1.5,1.51,205400
19/06/1997 16:00:00,1.51,1.53,1.5,1.53,82900
20/06/1997 16:00:00,1.53,1.55,1.5,1.53,282300
23/06/1997 16:00:00,1.54,1.54,1.48,1.5,87300
24/06/1997 16:00:00,1.5,1.53,1.48,1.51,62600
25/06/1997 16:00:00,1.52,1.53,1.49,1.51,175500
26/06/1997 16:00:00,1.52,1.52,1.51,1.51,265800
27/06/1997 16:00:00,1.51,1.52,1.48,1.49,99000
30/06/1997 16:00:00,1.51,1.6,1.48,1.54,228900
01/07/1997 16:00:00,1.54,1.54,1.51,1.52,107700
02/07/1997 16:00:00,1.52,1.59,1.51,1.59,323500
03/07/1997 16:00:00,1.6,1.92,1.59,1.91,1048101
07/07/1997 16:00:00,1.9,2.02,1.83,2,671100
08/07/1997 16:00:00,2.04,2.33,2.04,2.3,1293101
09/07/1997 16:00:00,2.3,2.39,2.27,2.32,688500
10/07/1997 16:00:00,2.33,2.57,2.33,2.56,754300
11/07/1997 16:00:00,2.54,2.54,2.21,2.29,847300
14/07/1997 16:00:00,2.33,2.33,2.11,2.14,383700
15/07/1997 16:00:00,2.33,2.33,2.11,2.14,383700
16/07/1997 16:00:00,2.45,2.49,2.3,2.32,240500
17/07/1997 16:00:00,2.34,2.34,2.16,2.22,264100
18/07/1997 16:00:00,2.19,2.22,2.16,2.16,65000
21/07/1997 16:00:00,2.18,2.2,2.15,2.18,47900
22/07/1997 16:00:00,2.17,2.19,2.06,2.14,130300
23/07/1997 16:00:00,2.18,2.33,2.18,2.29,271600
24/07/1997 16:00:00,2.29,2.31,2.22,2.26,101400
25/07/1997 16:00:00,2.22,2.25,2.22,2.23,51700
28/07/1997 16:00:00,2.23,2.4,2.22,2.35,169300
29/07/1997 16:00:00,2.36,2.5,2.33,2.48,401200
30/07/1997 16:00:00,2.5,2.51,2.43,2.45,209800
31/07/1997 16:00:00,2.44,2.44,2.33,2.4,121200
01/08/1997 16:00:00,2.34,2.42,2.25,2.42,299000
04/08/1997 16:00:00,2.41,2.41,2.3,2.31,222600
05/08/1997 16:00:00,2.33,2.33,2.15,2.21,252700
06/08/1997 16:00:00,2.21,2.31,2.19,2.25,103600
07/08/1997 16:00:00,2.24,2.26,2.12,2.18,169400
08/08/1997 16:00:00,2.17,2.3,2.1,2.29,184300
11/08/1997 16:00:00,2.29,2.33,2.25,2.33,103300
12/08/1997 16:00:00,2.28,2.3,2.2,2.2,47600
13/08/1997 16:00:00,2.23,2.23,2.17,2.2,49200
14/08/1997 16:00:00,2.18,2.25,2.12,2.16,86800
15/08/1997 16:00:00,2.14,2.16,1.94,2.11,133100
18/08/1997 16:00:00,2.14,2.16,1.94,2.04,148700
